Epoch[1] Iteration[97/214], loss: 3.7598, nitc_loss: 3.9674, ritc_loss: -0.2076, Base Lr: 2.33e-05
Epoch[1] Iteration[98/214], loss: 3.7546, nitc_loss: 3.9651, ritc_loss: -0.2105, Base Lr: 2.35e-05
Epoch[1] Iteration[99/214], loss: 3.7484, nitc_loss: 3.9726, ritc_loss: -0.2242, Base Lr: 2.37e-05
Epoch[1] Iteration[100/214], loss: 3.7009, nitc_loss: 3.9248, ritc_loss: -0.2239, Base Lr: 2.40e-05
Epoch[1] Iteration[101/214], loss: 3.6360, nitc_loss: 3.8322, ritc_loss: -0.1961, Base Lr: 2.42e-05
Epoch[1] Iteration[102/214], loss: 3.7695, nitc_loss: 3.9785, ritc_loss: -0.2091, Base Lr: 2.44e-05
Epoch[1] Iteration[103/214], loss: 3.7121, nitc_loss: 3.9093, ritc_loss: -0.1972, Base Lr: 2.46e-05
Epoch[1] Iteration[104/214], loss: 3.7047, nitc_loss: 3.8870, ritc_loss: -0.1823, Base Lr: 2.49e-05
Epoch[1] Iteration[105/214], loss: 3.6910, nitc_loss: 3.8577, ritc_loss: -0.1667, Base Lr: 2.51e-05
Epoch[1] Iteration[106/214], loss: 3.7568, nitc_loss: 3.9414, ritc_loss: -0.1846, Base Lr: 2.53e-05
Epoch[1] Iteration[107/214], loss: 3.7596, nitc_loss: 3.9587, ritc_loss: -0.1991, Base Lr: 2.56e-05
Epoch[1] Iteration[108/214], loss: 3.7977, nitc_loss: 4.0091, ritc_loss: -0.2114, Base Lr: 2.58e-05
Epoch[1] Iteration[109/214], loss: 3.7502, nitc_loss: 3.9420, ritc_loss: -0.1918, Base Lr: 2.60e-05
Epoch[1] Iteration[110/214], loss: 3.7797, nitc_loss: 3.9644, ritc_loss: -0.1847, Base Lr: 2.63e-05
Epoch[1] Iteration[111/214], loss: 3.7960, nitc_loss: 3.9751, ritc_loss: -0.1792, Base Lr: 2.65e-05
Epoch[1] Iteration[112/214], loss: 3.7914, nitc_loss: 3.9756, ritc_loss: -0.1842, Base Lr: 2.67e-05
Epoch[1] Iteration[113/214], loss: 3.7160, nitc_loss: 3.9349, ritc_loss: -0.2189, Base Lr: 2.70e-05
Epoch[1] Iteration[114/214], loss: 3.7567, nitc_loss: 3.9780, ritc_loss: -0.2214, Base Lr: 2.72e-05
Epoch[1] Iteration[115/214], loss: 3.7819, nitc_loss: 3.9991, ritc_loss: -0.2172, Base Lr: 2.74e-05
Epoch[1] Iteration[116/214], loss: 3.7032, nitc_loss: 3.9189, ritc_loss: -0.2157, Base Lr: 2.77e-05
Epoch[1] Iteration[117/214], loss: 3.7728, nitc_loss: 3.9748, ritc_loss: -0.2020, Base Lr: 2.79e-05
Epoch[1] Iteration[118/214], loss: 3.7377, nitc_loss: 3.9365, ritc_loss: -0.1988, Base Lr: 2.81e-05
Epoch[1] Iteration[119/214], loss: 3.6926, nitc_loss: 3.8615, ritc_loss: -0.1689, Base Lr: 2.84e-05
Epoch[1] Iteration[120/214], loss: 3.7547, nitc_loss: 3.9419, ritc_loss: -0.1872, Base Lr: 2.86e-05
Epoch[1] Iteration[121/214], loss: 3.7619, nitc_loss: 3.9432, ritc_loss: -0.1812, Base Lr: 2.88e-05
Epoch[1] Iteration[122/214], loss: 3.7492, nitc_loss: 3.9546, ritc_loss: -0.2055, Base Lr: 2.91e-05
Epoch[1] Iteration[123/214], loss: 3.7411, nitc_loss: 3.9299, ritc_loss: -0.1888, Base Lr: 2.93e-05
Epoch[1] Iteration[124/214], loss: 3.7900, nitc_loss: 3.9953, ritc_loss: -0.2052, Base Lr: 2.95e-05
Epoch[1] Iteration[125/214], loss: 3.8283, nitc_loss: 4.0632, ritc_loss: -0.2348, Base Lr: 2.97e-05
Epoch[1] Iteration[126/214], loss: 3.7509, nitc_loss: 3.9749, ritc_loss: -0.2241, Base Lr: 3.00e-05
Epoch[1] Iteration[127/214], loss: 3.7968, nitc_loss: 4.0086, ritc_loss: -0.2118, Base Lr: 3.02e-05
Epoch[1] Iteration[128/214], loss: 3.7671, nitc_loss: 3.9798, ritc_loss: -0.2127, Base Lr: 3.04e-05
Epoch[1] Iteration[129/214], loss: 3.8008, nitc_loss: 4.0316, ritc_loss: -0.2307, Base Lr: 3.07e-05
Epoch[1] Iteration[130/214], loss: 3.7330, nitc_loss: 3.9677, ritc_loss: -0.2347, Base Lr: 3.09e-05
Epoch[1] Iteration[131/214], loss: 3.6730, nitc_loss: 3.8794, ritc_loss: -0.2064, Base Lr: 3.11e-05
Epoch[1] Iteration[132/214], loss: 3.8326, nitc_loss: 4.0527, ritc_loss: -0.2202, Base Lr: 3.14e-05
Epoch[1] Iteration[133/214], loss: 3.7233, nitc_loss: 3.9056, ritc_loss: -0.1824, Base Lr: 3.16e-05
Epoch[1] Iteration[134/214], loss: 3.7709, nitc_loss: 3.9942, ritc_loss: -0.2233, Base Lr: 3.18e-05
Epoch[1] Iteration[135/214], loss: 3.7741, nitc_loss: 3.9793, ritc_loss: -0.2052, Base Lr: 3.21e-05
Epoch[1] Iteration[136/214], loss: 3.8360, nitc_loss: 4.0412, ritc_loss: -0.2051, Base Lr: 3.23e-05
Epoch[1] Iteration[137/214], loss: 3.8597, nitc_loss: 4.0592, ritc_loss: -0.1995, Base Lr: 3.25e-05
Epoch[1] Iteration[138/214], loss: 3.8343, nitc_loss: 4.0350, ritc_loss: -0.2007, Base Lr: 3.28e-05
Epoch[1] Iteration[139/214], loss: 3.7858, nitc_loss: 3.9813, ritc_loss: -0.1955, Base Lr: 3.30e-05
Epoch[1] Iteration[140/214], loss: 3.8231, nitc_loss: 3.9985, ritc_loss: -0.1754, Base Lr: 3.32e-05
Epoch[1] Iteration[141/214], loss: 3.7871, nitc_loss: 4.0099, ritc_loss: -0.2227, Base Lr: 3.35e-05
Epoch[1] Iteration[142/214], loss: 3.7966, nitc_loss: 4.0184, ritc_loss: -0.2218, Base Lr: 3.37e-05
Epoch[1] Iteration[143/214], loss: 3.7815, nitc_loss: 3.9810, ritc_loss: -0.1995, Base Lr: 3.39e-05
Epoch[1] Iteration[144/214], loss: 3.8663, nitc_loss: 4.0907, ritc_loss: -0.2244, Base Lr: 3.42e-05
Epoch[1] Iteration[145/214], loss: 3.7706, nitc_loss: 3.9649, ritc_loss: -0.1944, Base Lr: 3.44e-05
Epoch[1] Iteration[146/214], loss: 3.7806, nitc_loss: 4.0291, ritc_loss: -0.2485, Base Lr: 3.46e-05
Epoch[1] Iteration[147/214], loss: 3.8778, nitc_loss: 4.0974, ritc_loss: -0.2196, Base Lr: 3.49e-05
Epoch[1] Iteration[148/214], loss: 3.7691, nitc_loss: 3.9943, ritc_loss: -0.2252, Base Lr: 3.51e-05
Epoch[1] Iteration[149/214], loss: 3.8398, nitc_loss: 4.0498, ritc_loss: -0.2100, Base Lr: 3.53e-05
Epoch[1] Iteration[150/214], loss: 3.7065, nitc_loss: 3.9099, ritc_loss: -0.2034, Base Lr: 3.55e-05
Epoch[1] Iteration[151/214], loss: 3.7709, nitc_loss: 3.9803, ritc_loss: -0.2094, Base Lr: 3.58e-05
Epoch[1] Iteration[152/214], loss: 3.8516, nitc_loss: 4.0870, ritc_loss: -0.2355, Base Lr: 3.60e-05
Epoch[1] Iteration[153/214], loss: 3.8041, nitc_loss: 4.0495, ritc_loss: -0.2454, Base Lr: 3.62e-05
Epoch[1] Iteration[154/214], loss: 3.7622, nitc_loss: 4.0181, ritc_loss: -0.2558, Base Lr: 3.65e-05
Epoch[1] Iteration[155/214], loss: 3.8067, nitc_loss: 4.0432, ritc_loss: -0.2365, Base Lr: 3.67e-05
Epoch[1] Iteration[156/214], loss: 3.8301, nitc_loss: 4.0647, ritc_loss: -0.2346, Base Lr: 3.69e-05
Epoch[1] Iteration[157/214], loss: 3.8641, nitc_loss: 4.0597, ritc_loss: -0.1956, Base Lr: 3.72e-05
Epoch[1] Iteration[158/214], loss: 3.8300, nitc_loss: 4.0665, ritc_loss: -0.2365, Base Lr: 3.74e-05
Epoch[1] Iteration[159/214], loss: 3.8465, nitc_loss: 4.0742, ritc_loss: -0.2277, Base Lr: 3.76e-05
Epoch[1] Iteration[160/214], loss: 3.9003, nitc_loss: 4.1334, ritc_loss: -0.2331, Base Lr: 3.79e-05
Epoch[1] Iteration[161/214], loss: 3.8491, nitc_loss: 4.0898, ritc_loss: -0.2408, Base Lr: 3.81e-05
Epoch[1] Iteration[162/214], loss: 3.8153, nitc_loss: 4.0679, ritc_loss: -0.2526, Base Lr: 3.83e-05
Epoch[1] Iteration[163/214], loss: 3.8001, nitc_loss: 4.0191, ritc_loss: -0.2190, Base Lr: 3.86e-05
Epoch[1] Iteration[164/214], loss: 3.8829, nitc_loss: 4.1057, ritc_loss: -0.2228, Base Lr: 3.88e-05
Epoch[1] Iteration[165/214], loss: 3.8796, nitc_loss: 4.0891, ritc_loss: -0.2095, Base Lr: 3.90e-05
Epoch[1] Iteration[166/214], loss: 3.8874, nitc_loss: 4.0851, ritc_loss: -0.1977, Base Lr: 3.93e-05
Epoch[1] Iteration[167/214], loss: 3.8355, nitc_loss: 4.0626, ritc_loss: -0.2271, Base Lr: 3.95e-05
Epoch[1] Iteration[168/214], loss: 3.8392, nitc_loss: 4.0325, ritc_loss: -0.1933, Base Lr: 3.97e-05
Epoch[1] Iteration[169/214], loss: 3.8368, nitc_loss: 4.0482, ritc_loss: -0.2114, Base Lr: 4.00e-05
Epoch[1] Iteration[170/214], loss: 3.9320, nitc_loss: 4.1755, ritc_loss: -0.2435, Base Lr: 4.02e-05
Epoch[1] Iteration[171/214], loss: 3.9316, nitc_loss: 4.1744, ritc_loss: -0.2428, Base Lr: 4.04e-05
Epoch[1] Iteration[172/214], loss: 3.8721, nitc_loss: 4.1064, ritc_loss: -0.2343, Base Lr: 4.06e-05
Epoch[1] Iteration[173/214], loss: 3.8166, nitc_loss: 4.0578, ritc_loss: -0.2412, Base Lr: 4.09e-05
Epoch[1] Iteration[174/214], loss: 3.8713, nitc_loss: 4.1097, ritc_loss: -0.2384, Base Lr: 4.11e-05
Epoch[1] Iteration[175/214], loss: 3.8893, nitc_loss: 4.1499, ritc_loss: -0.2606, Base Lr: 4.13e-05
Epoch[1] Iteration[176/214], loss: 3.9095, nitc_loss: 4.1436, ritc_loss: -0.2341, Base Lr: 4.16e-05
Epoch[1] Iteration[177/214], loss: 3.8097, nitc_loss: 4.0525, ritc_loss: -0.2428, Base Lr: 4.18e-05
Epoch[1] Iteration[178/214], loss: 3.8289, nitc_loss: 4.0490, ritc_loss: -0.2202, Base Lr: 4.20e-05
Epoch[1] Iteration[179/214], loss: 3.8356, nitc_loss: 4.0721, ritc_loss: -0.2364, Base Lr: 4.23e-05
