Epoch[1] Iteration[120/1608], loss: 3.3420, nitc_loss: 2.0424, ritc_loss: 1.2996, Base Lr: 4.66e-06
Epoch[1] Iteration[121/1608], loss: 3.5082, nitc_loss: 2.2437, ritc_loss: 1.2645, Base Lr: 4.70e-06
Epoch[1] Iteration[122/1608], loss: 3.2247, nitc_loss: 1.9726, ritc_loss: 1.2521, Base Lr: 4.73e-06
Epoch[1] Iteration[123/1608], loss: 3.4700, nitc_loss: 2.2022, ritc_loss: 1.2678, Base Lr: 4.76e-06
Epoch[1] Iteration[124/1608], loss: 3.4761, nitc_loss: 2.1236, ritc_loss: 1.3525, Base Lr: 4.79e-06
Epoch[1] Iteration[125/1608], loss: 3.4422, nitc_loss: 2.1645, ritc_loss: 1.2777, Base Lr: 4.82e-06
Epoch[1] Iteration[126/1608], loss: 3.4951, nitc_loss: 2.1687, ritc_loss: 1.3264, Base Lr: 4.85e-06
Epoch[1] Iteration[127/1608], loss: 3.4321, nitc_loss: 2.1039, ritc_loss: 1.3282, Base Lr: 4.88e-06
Epoch[1] Iteration[128/1608], loss: 3.2904, nitc_loss: 2.0181, ritc_loss: 1.2723, Base Lr: 4.91e-06
Epoch[1] Iteration[129/1608], loss: 3.3201, nitc_loss: 2.0511, ritc_loss: 1.2690, Base Lr: 4.94e-06
Epoch[1] Iteration[130/1608], loss: 3.1244, nitc_loss: 1.9644, ritc_loss: 1.1600, Base Lr: 4.97e-06
Epoch[1] Iteration[131/1608], loss: 3.1110, nitc_loss: 1.9354, ritc_loss: 1.1755, Base Lr: 5.00e-06
Epoch[1] Iteration[132/1608], loss: 3.3154, nitc_loss: 2.0245, ritc_loss: 1.2909, Base Lr: 5.03e-06
Epoch[1] Iteration[133/1608], loss: 3.0840, nitc_loss: 1.8597, ritc_loss: 1.2243, Base Lr: 5.06e-06
Epoch[1] Iteration[134/1608], loss: 3.2817, nitc_loss: 1.9793, ritc_loss: 1.3025, Base Lr: 5.10e-06
Epoch[1] Iteration[135/1608], loss: 3.2484, nitc_loss: 1.9708, ritc_loss: 1.2776, Base Lr: 5.13e-06
Epoch[1] Iteration[136/1608], loss: 2.9711, nitc_loss: 1.8452, ritc_loss: 1.1259, Base Lr: 5.16e-06
Epoch[1] Iteration[137/1608], loss: 2.7848, nitc_loss: 1.7591, ritc_loss: 1.0257, Base Lr: 5.19e-06
Epoch[1] Iteration[138/1608], loss: 3.3505, nitc_loss: 2.1263, ritc_loss: 1.2242, Base Lr: 5.22e-06
Epoch[1] Iteration[139/1608], loss: 3.1789, nitc_loss: 1.9020, ritc_loss: 1.2769, Base Lr: 5.25e-06
Epoch[1] Iteration[140/1608], loss: 3.1142, nitc_loss: 1.9134, ritc_loss: 1.2008, Base Lr: 5.28e-06
Epoch[1] Iteration[141/1608], loss: 3.4262, nitc_loss: 2.1301, ritc_loss: 1.2960, Base Lr: 5.31e-06
Epoch[1] Iteration[142/1608], loss: 3.0918, nitc_loss: 1.8998, ritc_loss: 1.1920, Base Lr: 5.34e-06
Epoch[1] Iteration[143/1608], loss: 3.2224, nitc_loss: 2.0416, ritc_loss: 1.1808, Base Lr: 5.37e-06
Epoch[1] Iteration[144/1608], loss: 3.1192, nitc_loss: 1.9376, ritc_loss: 1.1816, Base Lr: 5.40e-06
Epoch[1] Iteration[145/1608], loss: 2.9048, nitc_loss: 1.7814, ritc_loss: 1.1234, Base Lr: 5.43e-06
Epoch[1] Iteration[146/1608], loss: 3.3070, nitc_loss: 1.9801, ritc_loss: 1.3268, Base Lr: 5.47e-06
Epoch[1] Iteration[147/1608], loss: 2.9992, nitc_loss: 1.7843, ritc_loss: 1.2148, Base Lr: 5.50e-06
Epoch[1] Iteration[148/1608], loss: 3.2244, nitc_loss: 1.9695, ritc_loss: 1.2549, Base Lr: 5.53e-06
